region;Prix;Surface(m2);Proximiteplage;TitreFoncier;EauDisponible;electricite;Cloture;NbArbres;TypedeCulture;Irrigation;batiment;route
Hammam El Gheza;180000.0;10000.0;1;1;0;0;0;0;0;0;0;0
Mejez El Bab;35000.0;400000.0;0;0;0;0;0;0;0;0;0;0
El Haouaria;970000.0;970.0;1;1;0;0;0;0;0;0;0;0
Dar Allouche;730400.0;913.0;1;1;0;0;0;0;0;0;0;0
Kerkouane;1410000.0;2350.0;1;1;0;0;0;0;0;0;0;0
Dar Allouche;90000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Hammam Jebli;1690000.0;1300.0;0;1;0;0;0;0;0;0;0;0
Ezzahra;180000.0;1.0;0;1;0;0;0;0;0;0;0;0
Mornaguia;550000.0;50.0;0;0;0;0;0;0;0;0;0;0
Hergla;134500.0;269.0;0;0;0;0;0;0;0;0;0;0
Mellita Djerba;400000.0;41002.0;0;0;0;0;0;0;0;0;0;0
El Mhedhba;420000.0;845.0;0;0;0;0;0;0;1;0;1;0
Bou Ali;270000.0;391.0;0;0;0;0;0;0;0;0;0;1
El Haouaria;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Tamazrat;1750000.0;3500.0;0;1;0;0;0;0;0;0;0;0
Chatt Meriem;222000.0;740.0;0;0;0;0;0;0;0;0;0;0
Dar Allouche;792000.0;990.0;1;1;0;0;0;0;0;0;0;0
Hammam El Gheza;180000.0;10000.0;1;1;0;0;0;0;0;0;0;0
Dar Allouche;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Tamazrat;1500000.0;3000.0;0;1;0;0;0;0;0;0;0;0
Kalaa El Kebira;90000.0;2879.0;0;0;0;0;1;0;0;0;0;0
Dar Allouche;672000.0;840.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;180000.0;10000.0;1;1;0;0;0;0;0;0;0;0
Sidi Bou Ali;180000.0;7630.0;0;1;0;0;0;50;1;0;0;0
Tamazrat;1000000.0;2000.0;0;1;0;0;0;0;0;0;0;0
Hammam Sousse G;312000.0;2600.0;0;0;0;0;0;0;0;0;0;0
Kelibia;180000.0;0.0;0;1;0;0;0;0;0;0;0;0
Ezzahra;1155000.0;770.0;0;1;0;0;0;0;0;0;0;0
Hammam El Gheza;1411000.0;830.0;0;1;0;0;0;0;0;0;0;0
Hammam Jebli;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Echabiba;700000.0;170000.0;0;0;0;0;0;5000;1;0;1;0
Kelibia;1950000.0;780.0;0;1;0;0;0;0;0;0;0;0
Dar Allouche;180000.0;0.0;0;1;0;0;0;0;0;0;0;0
Hammam Jebli;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Tamazrat;1250000.0;2500.0;1;1;0;0;0;0;0;0;0;0
Hammam Jebli;1690000.0;1300.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;90000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;90000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Kasserine;187000.0;120000.0;0;0;0;0;0;820;0;0;0;0
Dar Allouche;730400.0;913.0;1;1;0;0;0;0;0;0;0;0
Dar Allouche;730400.0;913.0;1;1;0;0;0;0;0;0;0;0
Hammam El Gheza;90000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Ezzahra;180000.0;180.0;0;1;0;0;0;0;0;0;0;0
El Frada;360000.0;12.0;0;0;1;0;1;0;0;0;0;0
Hammam El Gheza;315000.0;10000.0;1;1;0;0;0;0;0;0;0;0
Tamazrat;90000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Tamazrat;1750000.0;3500.0;0;1;0;0;0;0;0;0;0;0
Hammam El Gheza;1725500.0;1015.0;1;1;0;0;0;0;0;0;0;0
El Haouaria;2020000.0;2020.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;315000.0;10000.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;967500.0;645.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;967500.0;645.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;967500.0;645.0;1;1;0;0;0;0;0;0;0;0
Kerkouane;1260000.0;2100.0;1;1;0;0;0;0;0;0;0;0
Tamazrat;1000000.0;2000.0;0;1;0;0;0;0;0;0;0;0
Kerkouane;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Hammam El Gheza;1411000.0;830.0;1;1;0;0;0;0;0;0;0;0
Dar Allouche;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Dar Allouche;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
El Haouaria;2020000.0;2020.0;0;1;0;0;0;0;0;0;0;0
El Haouaria;2020000.0;2020.0;0;1;0;0;0;0;0;0;0;0
Hammam El Gheza;315000.0;10000.0;0;1;0;0;0;0;0;0;0;0
Hammam El Gheza;315000.0;10000.0;0;1;0;0;0;0;0;0;0;0
Kelibia;90000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Tamazrat;1250000.0;2500.0;0;1;0;0;0;0;0;0;0;0
Hammam Jebli;1690000.0;1300.0;1;1;0;0;0;0;0;0;0;0
Hammam El Gheza;1819000.0;1070.0;1;1;0;0;0;0;0;0;0;0
Kelibia;2132500.0;853.0;1;1;0;0;0;0;0;0;0;0
Kalaa El Kebira;784000.0;2800.0;0;0;0;0;0;0;0;0;0;0
Chatt Meriem;850000.0;300.0;0;0;1;0;1;0;0;0;0;0
Hammam Sousse G;120000.0;400.0;0;0;0;0;0;0;0;0;0;0
La Mannouba;140000.0;4000.0;0;1;0;0;0;0;0;0;0;0
Borj El Amri;130000.0;14480.0;0;1;0;0;0;0;0;0;0;0
Sidi Thabet;2000000.0;60970.0;0;0;0;0;0;0;0;0;0;1
Bou Lazhar;55000.0;50000.0;0;0;0;0;0;0;0;0;0;0
Mellita Djerba;320000.0;4237.0;0;1;0;0;0;0;0;0;0;0
Bir Ben Ayed;9999.0;230.0;0;0;0;0;0;440;1;0;0;0
Mornag;2175000.0;870000.0;0;1;0;0;0;0;0;0;0;0
Hammamet;148400.0;212.0;0;0;0;0;0;0;0;0;0;0
Bou Arada;550000.0;3250000.0;0;1;0;0;0;1000;0;0;0;0
Jama;195000.0;60000.0;0;1;0;0;0;0;0;0;0;0
Kelibia;100000.0;250.0;1;0;0;0;0;0;0;0;0;0
Chatt Meriem;404250.0;38502.0;0;0;0;0;0;44;1;0;0;0
Cherifate;750000.0;35000.0;0;0;0;0;0;0;0;1;1;0
Zaghouan;2750000.0;14450000.0;0;0;0;0;0;2100;1;1;0;0
Cherifate;320000.0;2200.0;0;0;0;0;0;65;1;0;1;0
Tombar;360000.0;20000.0;0;0;1;0;0;0;0;0;0;0
Mornag;850000.0;660000.0;0;0;0;0;0;0;0;0;1;0
Dar Allouche;48500.0;220.0;1;0;0;0;0;0;0;0;0;0
Oued Ellil;120000.0;10002.0;0;0;0;0;0;0;0;0;0;0
Sidi Aich;1800000.0;600000.0;0;0;0;0;0;0;0;0;0;0
Chatt Meriem;330000.0;33002.0;0;0;1;0;0;40;1;0;0;0
Ghardaya;110000.0;30002.0;0;0;0;0;0;21;1;0;0;0
Chatt Meriem;900000.0;200.0;0;0;0;1;0;0;0;0;0;0
Jeradou;575000.0;250000.0;0;0;0;0;0;0;0;0;0;0
Methline;180000.0;250000.0;0;0;0;0;0;0;0;0;0;0
Mornag;2600000.0;200000.0;0;0;0;0;1;0;0;0;1;0
Kalaa El Kebira;365000.0;8860.0;0;0;0;0;1;0;0;0;0;0
Mateur;900000.0;100000.0;0;0;0;0;0;0;0;0;0;0
Kairouan;600000.0;60000.0;0;0;0;0;0;0;0;0;0;0
Borj Hafaiedh;100000.0;11502.0;0;0;1;1;0;0;0;0;0;0
Mornag;230000.0;2300.0;0;0;0;0;0;0;0;0;0;0
Chaouat;690360.0;50000.0;0;0;0;0;0;0;0;0;1;0
El Kedoua;145000.0;60002.0;0;0;1;0;0;0;0;1;0;0
El Kedoua;250000.0;40002.0;0;1;1;0;0;180;0;0;1;0
Kelibia;250000.0;100.0;0;1;0;0;0;148;0;0;1;0
Beni Khalled;380000.0;380.0;0;0;0;0;0;0;0;0;0;0
Dar Chichou;60000.0;3000.0;0;1;0;0;0;0;0;0;0;0
Chatt Meriem;120000.0;1100.0;0;0;0;0;0;0;0;0;0;0
Cite Jadida;430000.0;876.0;0;0;0;0;0;0;0;0;0;0
Bousehem;300000.0;19570.0;0;0;0;0;0;0;3;0;0;0
Ezzahra;180000.0;10000.0;0;1;0;0;0;0;0;0;0;0
Dar Allouche;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Ezzahra;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Hammam El Gheza;63000.0;1000.0;0;1;1;0;0;0;0;0;0;0
Hammam El Gheza;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Hammam El Gheza;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Ezzahra;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Hammam El Gheza;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Hammam Jebli;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Cite Route Chou;400000.0;40000.0;0;0;0;0;0;0;0;0;0;0
Korba;1200000.0;800.0;0;0;0;0;0;0;0;1;1;0
Chatt Meriem;736000.0;4600.0;0;0;0;0;0;0;0;0;0;0
Menzel Bouzelfa;230000.0;7500.0;0;0;0;0;0;0;0;0;0;0
Hammam El Gheza;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Beni Khira;450000.0;6000.0;0;0;0;1;0;0;0;0;0;0
Zaghouan;1400000.0;530000.0;0;0;1;1;0;0;0;0;0;0
Kerkouane;110000.0;4500.0;0;1;0;0;0;29;1;0;0;0
Ezzahra;63000.0;1000.0;0;0;0;0;0;0;0;0;0;0
Hammamet;252000.0;280.0;0;0;1;0;0;0;0;0;0;0
El Haouaria;80000.0;14942.0;0;0;0;0;0;0;0;0;1;0
Khelidia;850000.0;100000.0;0;0;0;0;0;700;1;0;0;0
Chatt Meriem;210000.0;700.0;0;0;0;0;0;0;0;0;0;0
Hammam El Gheza;90000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Hammam Jebli;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Dar Allouche;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Dar Allouche;672000.0;840.0;0;1;0;0;0;0;0;0;0;0
Beni Khiar;862500.0;7502.0;1;1;0;0;0;0;0;0;0;0
Damous;330000.0;2000.0;0;0;0;0;0;150;1;1;1;0
Somaa;900000.0;4283.0;0;0;0;0;0;0;0;0;1;0
Hammam El Gheza;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;315000.0;10000.0;1;1;0;0;0;0;0;0;0;0
Tamazrat;1000000.0;20000.0;1;1;0;0;0;0;0;0;0;0
Hammam Jebli;1586000.0;1220.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;1155000.0;770.0;1;1;0;0;0;0;0;0;0;0
Hammam El Gheza;1411000.0;830.0;0;1;0;0;0;0;0;0;0;0
Mornag;556000.0;2224.0;0;0;0;0;0;0;0;0;0;0
El Haouaria;2020000.0;2020.0;1;1;0;0;0;0;0;0;0;0
Kelibia;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;795000.0;530.0;1;1;0;0;0;0;0;0;0;0
Hammam El Gheza;1819000.0;1070.0;1;1;0;0;0;0;0;0;0;0
Kerkouane;1410000.0;2350.0;0;1;0;0;0;0;0;0;0;0
Jabbes;213000.0;4262.0;0;0;0;0;1;0;0;0;0;0
Kelibia;2132500.0;853.0;0;1;0;0;0;0;0;0;0;0
Zaghouan;150000.0;3490.0;0;0;0;0;0;200;1;0;0;0
Hammam El Gheza;1266500.0;745.0;1;1;0;0;0;0;0;0;0;0
El Haouaria;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Ezzahra;315000.0;10000.0;1;1;0;0;0;0;0;0;0;0
Kerkouane;90000.0;1000.0;0;1;0;0;0;0;0;0;0;0
El Haouaria;2020000.0;2020.0;1;1;0;0;0;0;0;0;0;0
Grombalia;430000.0;20000.0;0;0;0;0;0;0;0;0;0;0
Kelibia;210000.0;1000.0;0;0;0;0;0;0;1;0;0;0
Kerkouane;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Dar Allouche;2362500.0;990.0;0;1;0;0;0;0;0;0;0;0
Hammam El Gheza;1725500.0;1015.0;1;1;0;0;0;0;0;0;0;0
Kelibia;2362500.0;945.0;0;1;0;0;0;0;0;0;0;0
Menzel Temime;850000.0;300.0;0;1;0;0;0;150;0;0;1;0
Kerkouane;1260000.0;2100.0;0;1;0;0;0;0;0;0;0;0
Ezzahra;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Hammam Jebli;200000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Hammam El Gheza;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Kelibia;1735000.0;694.0;0;1;0;0;0;0;0;0;0;0
Hammam Jebli;90000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Hammam El Gheza;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Kerkouane;960000.0;1600.0;1;1;0;0;0;0;0;0;0;0
Dar Allouche;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Dar Allouche;920000.0;1150.0;0;1;0;0;0;0;0;0;0;0
Dar Allouche;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Sidi Bou Ali;280000.0;7000.0;0;1;0;0;0;0;1;0;0;0
Hammam El Gheza;1411000.0;830.0;1;1;0;0;0;0;0;0;0;0
Kelibia;900000.0;320000.0;1;0;0;0;0;0;0;0;0;0
Hammam El Gheza;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Hammam El Gheza;315000.0;10000.0;0;1;0;0;0;0;0;0;0;0
Kelibia;90000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Hammam Jebli;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Kerkouane;1410000.0;2350.0;1;1;0;0;0;0;0;0;0;0
Sidi Thabet;1400000.0;30000.0;0;0;1;1;0;0;0;0;1;1
Dar Allouche;730400.0;913.0;0;1;0;0;0;0;0;0;0;0
Hammam El Gheza;90000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;795000.0;530.0;0;1;0;0;0;0;0;0;0;0
Hammam El Gheza;1819000.0;1070.0;0;1;0;0;0;0;0;0;0;0
Menzel Bouzelfa;180000.0;180.0;0;0;0;0;0;0;0;0;0;0
Menzel Bouzelfa;220000.0;220.0;0;0;0;0;0;0;0;0;0;0
Ouled Amor;290500.0;2905.0;0;1;0;0;0;0;0;0;0;1
El Haouaria;1900000.0;1900.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;1470000.0;980.0;0;1;0;0;0;0;0;0;0;0
Tamazrat;90000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Dar Allouche;960800.0;1201.0;1;1;0;0;0;0;0;0;0;0
Tamazrat;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
El Haouaria;2020000.0;2020.0;0;1;0;0;0;0;0;0;0;0
Tamazrat;1750000.0;3500.0;0;1;0;0;0;0;0;0;0;0
Hammam Jebli;1144000.0;880.0;0;1;0;0;0;0;0;0;0;0
Hammam El Gheza;1725500.0;1015.0;1;1;0;0;0;0;0;0;0;0
Kerkouane;1980000.0;3300.0;0;1;0;0;0;0;0;0;0;0
Dar Allouche;792000.0;990.0;0;1;0;0;0;0;0;0;0;0
Kelibia;2362500.0;945.0;1;1;0;0;0;0;0;0;0;0
Chatt Meriem;112000.0;500.0;1;0;0;0;0;0;0;0;0;0
Kelibia;315000.0;10000.0;1;1;0;0;0;0;0;0;0;0
El Haouaria;818000.0;818.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;90000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Hammam Jebli;1179100.0;907.0;0;1;0;0;0;0;0;0;0;0
Ezzahra;967500.0;645.0;1;1;0;0;0;0;0;0;0;0
Hammam Jebli;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Kerkouane;90000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Kerkouane;1260000.0;2100.0;0;1;0;0;0;0;0;0;0;0
Kelibia;1735000.0;694.0;0;1;0;0;0;0;0;0;0;0
Menzel Bourguib;1250000.0;250000.0;0;0;0;0;0;0;0;0;0;0
Hammam El Gheza;315000.0;10000.0;1;1;0;0;0;0;0;0;0;0
Beni Khalled;280000.0;40.0;0;1;0;0;0;0;0;0;0;0
Dar Allouche;90000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Cite Guichba;920000.0;100000.0;0;0;0;0;0;0;0;0;0;0
Kerkouane;960000.0;1600.0;0;1;0;0;0;0;0;0;0;0
Dar Allouche;920000.0;1150.0;0;1;0;0;0;0;0;0;0;0
Dar Allouche;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;315000.0;150020000.0;1;1;0;0;0;0;0;0;0;0
El Haouaria;970000.0;970.0;0;1;0;0;0;0;0;0;0;0
Chatt Meriem;264960.0;828.0;0;0;0;0;0;0;0;0;0;0
Tamazrat;1250000.0;2500.0;0;1;0;0;0;0;0;0;0;0
Somaa;180000.0;13000.0;0;1;0;0;0;0;0;0;0;0
Somaa;350000.0;12000.0;0;1;0;0;0;50;1;0;0;0
Ezzahra;795000.0;530.0;1;1;0;0;0;0;0;0;0;0
Hammam El Gheza;1819000.0;1070.0;1;1;0;0;0;0;0;0;0;0
Kerkouane;1410000.0;2350.0;0;1;0;0;0;0;0;0;0;0
Kelibia;2132500.0;853.0;0;1;0;0;0;0;0;0;0;0
Somaa;550000.0;40000.0;0;0;0;0;0;0;1;0;0;0
Jebel Ersass;2700000.0;426402.0;0;0;0;0;0;0;0;1;1;0
Chafai;40000.0;60000.0;0;0;0;0;0;0;0;0;0;0
El Frada;480000.0;65100.0;0;0;0;0;1;2600;1;0;0;0
Ezzahra;1155000.0;770.0;0;1;0;0;0;0;0;0;0;0
Kalaa El Kebira;1375000.0;25000.0;0;0;0;0;0;0;0;0;0;0
Boucha;350000.0;12002.0;0;0;0;0;0;0;0;0;1;0
Hammam Jebli;90000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Hammam Jebli;90000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Ezzahra;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Tamazrat;1250000.0;2500.0;1;1;0;0;0;0;0;0;0;0
Tamazrat;1250000.0;2500.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;90000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Hammam El Gheza;1819000.0;1070.0;0;1;0;0;0;0;0;0;0;0
Hammam El Gheza;1819000.0;1070.0;0;1;0;0;0;0;0;0;0;0
Kerkouane;1410000.0;2350.0;0;1;0;0;0;0;0;0;0;0
Hammam El Gheza;90000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Kelibia;2575000.0;1030.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;1470000.0;980.0;0;1;0;0;0;0;0;0;0;0
Kerkouane;1980000.0;3300.0;0;1;0;0;0;0;0;0;0;0
Hammam Jebli;90000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Hammam Jebli;1144000.0;880.0;0;1;0;0;0;0;0;0;0;0
Ezzahra;840000.0;560.0;1;1;0;0;0;0;0;0;0;0
Kerkouane;1260000.0;2100.0;0;1;0;0;0;0;0;0;0;0
Sidi Aich;3600000.0;3000000.0;0;0;0;0;0;0;0;0;0;0
Kelibia;1735000.0;694.0;0;1;0;0;0;0;0;0;0;0
Kelibia;90000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Hammam Jebli;1179100.0;907.0;0;1;0;0;0;0;0;0;0;0
Kelibia;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Bizerte;421440.0;3512.0;0;0;0;0;0;20;1;0;0;0
Hammam El Gheza;1020000.0;600.0;1;1;0;0;0;0;0;0;0;0
El Haouaria;1073000.0;1073.0;1;1;0;0;0;0;0;0;0;0
Kelibia;1950000.0;780.0;0;1;0;0;0;0;0;0;0;0
Tamazrat;1000000.0;2000.0;1;1;0;0;0;0;0;0;0;0
Dar Allouche;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Ezzahra;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Hammam El Gheza;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Hammam El Gheza;1411000.0;830.0;1;1;0;0;0;0;0;0;0;0
Beni Khira;7000000.0;1270000.0;0;0;1;0;0;0;0;0;0;0
Hammam El Gheza;90000.0;1000.0;0;1;0;0;0;0;0;0;0;0
El Haouaria;970000.0;970.0;1;1;0;0;0;0;0;0;0;0
El Haouaria;970000.0;970.0;1;1;0;0;0;0;0;0;0;0
Hammam El Gheza;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Kelibia;2132500.0;853.0;0;1;0;0;0;0;0;0;0;0
Kelibia;2132500.0;853.0;0;1;0;0;0;0;0;0;0;0
Tamazrat;1250000.0;2500.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;795000.0;530.0;1;1;0;0;0;0;0;0;0;0
Mornag;680000.0;150000.0;0;0;1;0;0;0;0;0;1;0
Mornag;185000.0;4800.0;0;0;1;0;0;0;0;0;1;0
Hammam El Gheza;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Hammam El Gheza;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Cherifate;9999.0;17397.0;0;0;0;0;0;0;0;0;0;1
Sidi Salem;4680000.0;720000.0;0;1;0;0;0;0;0;1;0;0
Ezzahra;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Hammam Jebli;1839500.0;1415.0;1;1;0;0;0;0;0;0;0;0
Hammam El Gheza;1266500.0;745.0;0;1;0;0;0;0;0;0;0;0
Kerkouane;1110000.0;1850.0;1;1;0;0;0;0;0;0;0;0
Kelibia;2575000.0;1030.0;0;1;0;0;0;0;0;0;0;0
Tamazrat;1750000.0;3500.0;0;1;0;0;0;0;0;0;0;0
Hammam El Gheza;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Tamazrat;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Soliman;750000.0;35000.0;0;0;0;0;0;0;0;1;1;0
Hammam Jebli;63000.0;1000.0;0;1;1;0;0;0;0;0;0;0
Hammam El Gheza;1725500.0;1015.0;0;1;0;0;0;0;0;0;0;0
Hammam Jebli;90000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Hammam Jebli;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Tamazrat;1500000.0;3000.0;1;1;0;0;0;0;0;0;0;0
Hammam Jebli;1179100.0;907.0;1;1;0;0;0;0;0;0;0;0
Kerkouane;1260000.0;2100.0;0;1;0;0;0;0;0;0;0;0
Hammam El Gheza;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Kerkouane;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Kerkouane;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Ezzahra;1155000.0;770.0;0;1;0;0;0;0;0;0;0;0
Dar Allouche;90000.0;1000.0;0;1;0;0;0;0;0;0;0;0
El Fahs;1620000.0;930000.0;0;0;0;0;0;0;1;1;0;0
Kelibia;1950000.0;780.0;1;1;0;0;0;0;0;0;0;0
El Haouaria;2020000.0;2020.0;1;1;0;0;0;0;0;0;0;0
Hammam El Gheza;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Hammam El Gheza;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Tamazrat;1250000.0;2500.0;1;1;0;0;0;0;0;0;0;0
Hammam Jebli;1690000.0;1300.0;1;1;0;0;0;0;0;0;0;0
Hammam El Gheza;1819000.0;1070.0;1;1;0;0;0;0;0;0;0;0
Hammam El Gheza;1819000.0;1070.0;1;1;0;0;0;0;0;0;0;0
Hammam El Gheza;1819000.0;1070.0;1;1;0;0;0;0;0;0;0;0
Dar Allouche;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
El Haouaria;90000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Kerkouane;1410000.0;2350.0;1;1;0;0;0;0;0;0;0;0
El Haouaria;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Agareb;75000.0;75.0;0;0;0;0;0;280;1;0;0;0
Cap Zbib;670000.0;1600.0;0;1;0;0;0;0;0;0;0;0
Mnihla;1700000.0;8507.0;0;0;0;0;0;0;0;0;0;0
Hammam Jebli;1839500.0;1450.0;1;1;0;0;0;0;0;0;0;0
El Haouaria;90000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Ezzahra;1470000.0;980.0;1;1;0;0;0;0;0;0;0;0
Hammam El Gheza;1266500.0;745.0;1;1;0;0;0;0;0;0;0;0
Kerkouane;1980000.0;3300.0;0;1;0;0;0;0;0;0;0;0
Hammam Jebli;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Ezzahra;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Hammam Jebli;1144000.0;880.0;1;1;0;0;0;0;0;0;0;0
Kelibia;90000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Kelibia;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Tamazrat;90000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Tamazrat;90000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Kerkouane;1260000.0;2100.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;200000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Hammam El Gheza;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Tamazrat;1500000.0;3000.0;0;1;0;0;0;0;0;0;0;0
Hammam Jebli;1179100.0;907.0;0;1;0;0;0;0;0;0;0;0
Ezzahra;967500.0;645.0;1;1;0;0;0;0;0;0;0;0
Kalaa El Kebira;4000000.0;0.0;0;0;0;0;0;0;0;0;0;0
Sidi Bou Ali;310000.0;28702.0;0;0;0;0;0;0;0;0;0;0
Dar Allouche;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Dar Allouche;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Dar Allouche;920000.0;1150.0;1;1;0;0;0;0;0;0;0;0
Kelibia;1950000.0;780.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;90000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;1155000.0;770.0;1;1;0;0;0;0;0;0;0;0
Hammam El Gheza;1411000.0;830.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Kelibia;90000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Kerkouane;1410000.0;2350.0;0;1;0;0;0;0;0;0;0;0
Kerkouane;1410000.0;2350.0;0;1;0;0;0;0;0;0;0;0
Kelibia;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Kelibia;2132500.0;853.0;0;1;0;0;0;0;0;0;0;0
Tamazrat;1250000.0;2500.0;1;1;0;0;0;0;0;0;0;0
Hammam Jebli;1690000.0;1300.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;795000.0;530.0;1;1;0;0;0;0;0;0;0;0
Tebourba;280000.0;180000.0;0;0;0;0;0;0;0;0;0;0
Bir Bouregba;980000.0;79.0;0;0;0;0;0;0;0;0;0;0
Hammam El Gheza;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Hammam El Gheza;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Hammam Jebli;90000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Hammam Jebli;90000.0;1000.0;0;1;0;0;0;0;0;0;0;0
