region;Prix;Surface(m2);Proximiteplage;TitreFoncier;EauDisponible;electricite;Cloture;NbArbres;TypedeCulture;Irrigation;batiment;route
Sidi Bou Ali;390000.0;14000.0;0;0;0;0;0;20;0;0;0;0
Sidi Bou Ali;300000.0;14252.0;0;0;1;0;0;0;1;0;1;0
Borj El Amri;310000.0;30000.0;0;1;0;1;0;0;1;0;0;1
Kalaa El Kebira;387000.0;5529.0;0;1;0;0;0;0;0;0;0;0
Dar Allouche;672000.0;840.0;1;1;0;0;0;0;0;0;0;0
Kelibia;1735000.0;694.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;180000.0;10000.0;0;1;0;0;0;0;0;0;0;0
Ezzahra;180000.0;10000.0;0;1;0;0;0;0;0;0;0;0
Hammam Jebli;1586000.0;1220.0;1;1;0;0;0;0;0;0;0;0
Hergla;103500.0;414.0;0;0;1;0;0;0;0;0;0;0
Ezzahra;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Hammam El Gheza;1411000.0;830.0;1;1;0;0;0;0;0;0;0;0
Chatt Meriem;269280.0;3366.0;0;0;1;0;0;0;0;0;0;0
Dar Allouche;920000.0;1150.0;1;1;0;0;0;0;0;0;0;0
Hammamet;90000.0;2800.0;0;1;0;0;0;0;1;0;0;0
El Kobba El Keb;2750000.0;100000.0;0;0;0;0;0;0;2;0;1;1
El Kharrouba;1150000.0;71223.0;0;0;0;0;0;0;0;0;1;0
El Kobba El Keb;2000000.0;860000.0;0;0;0;0;0;0;2;0;1;0
Dar Allouche;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Dar Allouche;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Chatt Meriem;117000.0;234.0;1;0;0;0;0;0;0;0;0;0
Hammam El Gheza;90000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Tamazrat;1250000.0;2500.0;0;1;0;0;0;0;0;0;0;0
Tamazrat;1250000.0;2500.0;0;1;0;0;0;0;0;0;0;0
Hammam El Gheza;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;795000.0;530.0;0;1;0;0;0;0;0;0;0;0
Kelibia;90000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Kerkouane;1410000.0;2350.0;1;1;0;0;0;0;0;0;0;0
Dar Allouche;730400.0;913.0;1;1;0;0;0;0;0;0;0;0
Teskraya;70000.0;200.0;1;0;0;0;0;0;0;0;0;0
Bou Ficha;400000.0;6000.0;0;1;0;0;0;55;1;0;0;0
Sidi Thabet;450000.0;6300.0;0;0;0;0;0;0;1;0;0;0
Jabbes;270000.0;10400.0;0;0;0;0;0;0;1;0;0;0
Ouriemma;450000.0;20000.0;0;1;0;0;0;0;0;0;1;0
Kalaa Essghira;706440.0;2523.0;0;1;0;0;0;0;0;0;0;0
Chatt Meriem;500000.0;2000.0;0;0;0;0;0;0;0;0;0;0
Kerkouane;90000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Chatt Meriem;100000.0;200.0;0;0;0;0;0;0;0;0;0;0
El Haouaria;1073000.0;1073.0;1;1;0;0;0;0;0;0;0;0
Kairouan;25000.0;2000000.0;0;0;0;0;0;0;0;0;0;0
Sidi Bou Ali;270000.0;8000.0;0;0;0;0;0;0;1;0;0;0
Hammam Jebli;1586000.0;1220.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;1155000.0;770.0;1;1;0;0;0;0;0;0;0;0
Kelibia;90000.0;1000.0;1;1;0;0;0;0;0;0;0;0
